force,tier,origin,type,n_signals,members,member_ids,lead_months,raw_r,partial_r_ctrl_market,beta_signal,survival,leads,smoothing_pass,holds_pass,is_comover,verdict,status,n,episode_pass,lead_class
Metals complex,TIGHT,primary,cluster composite,13,"Copper PPI, Global copper price, Metals and Metal Products: Nonferrous Metals, Metals and Metal Products: Nonferrous Metal, Metals and Metal Products: Primary Nonferrou, Metals and Metal Products: Nonferrous Scrap, Metals and Metal Products: Secondary Nonferr, Producer Price Index by Commodity: Metals an, Producer Price Index by Commodity: Metals an, Producer Price Index by Commodity: Metals an, Import Price Index, Global price of Metal index, Global price of Industrial Materials index",WPUSI019011;PCOPPUSDM;WPU102;WPU1021;WPU1022;WPU1023;WPU1024;PPICMM;WPS102;WPS1023;IR142;PMETAINDEXM;PINDUINDEXM,6,0.5768,0.3185,1.5743,survives,yes,yes,yes,no,CONFIRMED,scored,251,yes,true lead
Producer Price Index by Industry: Carbon and,TIGHT,primary,single signal,1,Producer Price Index by Industry: Carbon and,PCU3359913359910,-6,0.3594,0.3179,,survives,no,yes,no,no,REVERSED,scored,695,,lags
Finished lubricants PPI,TIGHT,primary,single signal,1,Finished lubricants PPI,WPU0576,-3,0.5315,0.3119,,survives,no,yes,yes,no,REVERSED,scored,611,,lags
Import Price Index (End Use): Vegetables,TIGHT,primary,single signal,1,Import Price Index,IR00130,-9,0.3055,0.3086,,survives,no,yes,yes,no,REVERSED,scored,421,,lags
"Import Price Index (End Use): Toys, Games, a",TIGHT,primary,single signal,1,Import Price Index,IR41120,-5,0.3564,0.3028,,survives,no,yes,yes,no,REVERSED,scored,423,,lags
Uranium,TIGHT,primary,single signal,1,Uranium,PURANUSDM,-3,0.34,0.2947,,partly survives,no,yes,yes,no,REVERSED,scored,398,,lags
Non-ferrous metals complex,TIGHT,primary,cluster composite,8,"Nonferrous wire & cable PPI, Import: Ind. Supplies & Materials, Import: Ind. Supplies & Materials, Metals and Metal Products, Metals and Metal Products: Nonferrous Mill S, Import Price Index, Import Price Index, Import Price Index",WPU1026;IR1EXFUEL;IR1DUR;WPU10;WPU1025;IR15;IR14;IR1EXPET,4,0.7305,0.294,1.2585,partly survives,yes,yes,yes,no,CONFIRMED,scored,277,yes,true lead
Chemicals and Allied Products: Drugs and Pha,TIGHT,primary,single signal,1,Chemicals and Allied Products: Drugs and Pha,WPU063,-3,0.2843,0.2896,,partly survives,no,no,no,no,REJECTED,scored,698,,lags
Producer Price Index by Commodity for Metals,TIGHT,primary,single signal,1,Producer Price Index by Commodity for Metals,WPU1016,0,0.5397,0.2788,,partly survives,no,yes,yes,yes,CO-MOVER (not a lead),scored,585,,co-mover
Unfilled Orders: Total Manufacturing,TIGHT,primary,single signal,1,Unfilled Orders: Total Manufacturing,AMTMUO,-1,0.4873,0.2686,,partly survives,no,yes,no,yes,CO-MOVER (not a lead),scored,400,,co-mover
Non-ferrous metals complex,TIGHT,primary,cluster composite,2,"Global aluminum price, Producer Price Index by Commodity: Metals an",PALUMUSDM;WPS102302,5,0.5807,0.2682,2.323,partly survives,yes,yes,yes,no,CONFIRMED,scored,396,yes,true lead
Aluminum mill shapes PPI,TIGHT,primary,single signal,1,Aluminum mill shapes PPI,WPU102501,4,0.6149,0.2614,1.2005,partly survives,yes,yes,yes,no,CONFIRMED,scored,697,,true lead
Producer Price Index by Industry: Scheduled,TIGHT,primary,single signal,1,Producer Price Index by Industry: Scheduled,PCU4811124811122,9,-0.1849,-0.2432,,partly survives,yes,no,no,no,REJECTED,scored,438,,true lead
Global nickel price,TIGHT,primary,single signal,1,Global nickel price,PNICKUSDM,2,0.4124,0.2325,,partly survives,yes,yes,yes,yes,CO-MOVER (not a lead),scored,399,,co-mover
